#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:89 out:89 type:B dur:2 cpbdur:2 q:0.00 aq:0.46 tex:958363 mv:16618 misc:3219 imb:178 pmb:2085 smb:1337 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:0.00 aq:0.60 tex:773802 mv:15797 misc:3137 imb:64 pmb:2095 smb:1441 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:0.00 aq:0.58 tex:930127 mv:15797 misc:2516 imb:75 pmb:2867 smb:658 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:0.00 aq:0.41 tex:1234404 mv:11976 misc:2332 imb:443 pmb:2601 smb:556 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:987961 mv:20030 misc:3113 imb:140 pmb:2435 smb:1025 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:0.00 aq:0.61 tex:801330 mv:17422 misc:3304 imb:65 pmb:2255 smb:1280 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:0.00 aq:0.72 tex:817496 mv:17719 misc:3201 imb:51 pmb:2234 smb:1315 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1135997 mv:11555 misc:3120 imb:460 pmb:2039 smb:1101 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:0.00 aq:0.40 tex:957644 mv:18372 misc:3200 imb:131 pmb:2291 smb:1178 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:0.00 aq:0.69 tex:807146 mv:18135 misc:3223 imb:51 pmb:2266 smb:1283 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:0.00 aq:0.66 tex:795354 mv:16603 misc:3235 imb:55 pmb:2202 smb:1343 d:- ref:0 ;
